id_store_bank;tx_createdate;tx_status;tx_company_code;tx_gl_account;tx_store_bank_code;tx_store_code
73;2023-07-16 13:00:39;CREATED;AZALEIA;1041107;011-0949-01-00005778;ST038
74;2023-07-16 13:00:39;CREATED;AZALEIA;1041107;011-0949-01-00005778;ST040
75;2023-07-16 13:00:39;CREATED;AZALEIA;1041107;011-0949-01-00005778;ST043
76;2023-07-16 13:00:39;CREATED;AZALEIA;1041107;011-0949-01-00005778;ST044
77;2023-07-16 13:00:39;CREATED;AZALEIA;1041107;011-0949-01-00005778;ST046
78;2023-07-16 13:00:39;CREATED;AZALEIA;1041107;011-0949-01-00005778;ST048
79;2023-07-16 13:00:39;CREATED;AZALEIA;1041107;011-0949-01-00005778;ST050
80;2023-07-16 13:00:39;CREATED;AZALEIA;1041107;011-0949-01-00005778;ST054
81;2023-07-16 13:00:39;CREATED;AZALEIA;1041107;011-0949-01-00005778;ST056
82;2023-07-16 13:00:39;CREATED;AZALEIA;1041107;011-0949-01-00005778;ST057
83;2023-07-16 13:00:39;CREATED;AZALEIA;1041107;011-0949-01-00005778;ST059
84;2023-07-16 13:00:39;CREATED;AZALEIA;1041107;011-0949-01-00005778;ST060
85;2023-07-16 13:00:39;CREATED;AZALEIA;1041107;011-0949-01-00005778;ST061
86;2023-07-16 13:00:39;CREATED;AZALEIA;1041107;011-0949-01-00005778;ST062
87;2023-07-16 13:00:39;CREATED;AZALEIA;1041109;00-018-032872;ST004
88;2023-07-16 13:00:39;CREATED;AZALEIA;1011101;CAJA TDA CASAPALCA ;ST002
89;2023-07-16 13:00:39;CREATED;AZALEIA;1011102;CAJA TDA  RP TRUJILLO ;ST050
90;2023-07-16 13:00:39;CREATED;AZALEIA;1011103;CAJA TDA  RP HUANUCO ;ST038
91;2023-07-16 13:00:39;CREATED;AZALEIA;1011104;CAJA TDA  RP PIURA  ;ST043
92;2023-07-16 13:00:39;CREATED;AZALEIA;1011105;CAJA TDA  RP CUSCO ;ST044
93;2023-07-16 13:00:39;CREATED;AZALEIA;1011106;CAJA TDA  RP PUCALLPA ;ST046
94;2023-07-16 13:00:39;CREATED;AZALEIA;1011107;CAJA TDA  RP PRIMAVERA ;ST020
95;2023-07-16 13:00:39;CREATED;AZALEIA;1011108;CAJA TDA  RP PURUCHUCO AZA ;ST056
96;2023-07-16 13:00:39;CREATED;AZALEIA;1011109;CAJA TDA  RP PURUCHUCO OLY ;ST057
97;2023-07-16 13:00:39;CREATED;AZALEIA;1011110;CAJA TDA  MAVENT. AREQUIPA ;ST032
98;2023-07-16 13:00:39;CREATED;AZALEIA;1011111;CAJA TDA  MAVENT. STA ANITA ;ST036
99;2023-07-16 13:00:39;CREATED;AZALEIA;1011112;CAJA TDA  MAVENT. CHICLAYO ;ST059
100;2023-07-16 13:00:39;CREATED;AZALEIA;1011113;CAJA TDA  PN OLY ;ST054
101;2023-07-16 13:00:39;CREATED;AZALEIA;1011114;CAJA TDA  PN AZA ;ST040
102;2023-07-16 13:00:39;CREATED;AZALEIA;1011115;CAJA TDA  OP ATOCONGO ;ST025
103;2023-07-16 13:00:39;CREATED;AZALEIA;1011116;CAJA TDA  OP PIURA ;ST024
104;2023-07-16 13:00:39;CREATED;AZALEIA;1011117;CAJA TDA  TDA JOCKEY PLAZA;ST003
105;2023-07-16 13:00:39;CREATED;AZALEIA;1011118;CAJA TDA  TDA TRUJILLO ;ST022
106;2023-07-16 13:00:39;CREATED;AZALEIA;1011119;CAJA TDA  MALL PLAZA TRUJILLO OLYMPIKUS  ;ST062
107;2023-07-16 13:00:39;CREATED;AZALEIA;1011120;CAJA TDA  MEGA PLAZA OLYMPIKUS ;ST007
108;2023-07-16 13:00:39;CREATED;AZALEIA;1011121;CAJA TDA  MEGA PLAZA AZALEIA  ;ST008
109;2023-07-16 13:00:39;CREATED;AZALEIA;1011122;CAJA TDA  C.C SAN MIGUEL ;ST016
110;2023-07-16 13:00:39;CREATED;AZALEIA;1011123;CAJA TDA  C.C LAMBRAMANI ARQ ;ST060
111;2023-07-16 13:00:39;CREATED;AZALEIA;1011124;CAJA TDA  C.C BOULEVARD ASIA ;ST061
112;2023-07-16 13:00:39;CREATED;AZALEIA;1011125;CAJA TDA  C.C MALL SUR ;ST048
113;2023-07-16 13:00:39;CREATED;AZALEIA;1011126;CAJA TDA  PLAZA DEL SOL ICA;ST029
114;2023-07-16 13:00:39;CREATED;AZALEIA;1011127;CAJA TDA  CATALOGO ;ST004
115;2023-07-16 13:00:39;CREATED;AZALEIA;1011128;CAJA TDA  ECOMMERCE ;ST023
116;2023-07-16 13:00:39;CREATED;AZALEIA;1013101;CAJA TDA CASAPALCA -  NIUBIZ;ST002
117;2023-07-16 13:00:39;CREATED;AZALEIA;1013102;CAJA TDA CASAPALCA -  IZIPAY;ST002
118;2023-07-16 13:00:39;CREATED;AZALEIA;1013103;CAJA TDA CASAPALCA -  CULQI;ST002
119;2023-07-16 13:00:39;CREATED;AZALEIA;1013104;CAJA TDA CASAPALCA -  AMEX;ST002
120;2023-07-16 13:00:39;CREATED;AZALEIA;1013105;CAJA TDA CASAPALCA -  DINERS;ST002
121;2023-07-16 13:00:39;CREATED;AZALEIA;1013106;CAJA TDA RP TRUJILLO -  NIUBIZ;ST050
